222 	| [101] 	| -1.0379390789716796 	| -1.2593809173532573 	| -0.9545614762642145
223 	| [104] 	| -2.0293384231837956 	| -1.9048563750073013 	| -2.2230660737037873
224 	| [103] 	| -1.845148769427993 	| -2.1172771490985953 	| -2.1140617661377243
225 	| [105] 	| -0.5094250934136415 	| -0.865663035940646 	| -0.5987299551366707
226 	| [102] 	| -1.276837724131179 	| -1.5172688866909971 	| -1.647156562456861
227 	| [116] 	| -0.8535764189171783 	| -1.0257111105188903 	| -1.0778115738710903
228 	| [103] 	| -2.0976248362262395 	| -1.9286851735191637 	| -1.7794126999249427
229 	| [101] 	| -1.1460457761316332 	| -1.617904031097822 	| -1.5050599533948625
230 	| [105] 	| -1.1457912496145914 	| -1.1521958545584685 	| -1.0911275695505522
231 	| [116] 	| -2.7200267618063787 	| -2.093355084444533 	| -2.229294786349955
232 	| [102] 	| -1.131688761849186 	| -1.4640567190320812 	| -1.3437989766944263
233 	| [104] 	| -1.5595598452727206 	| -1.7827051274825 	| -1.9154548764168715
234 	| [103] 	| -2.3144632716643123 	| -2.275552081327234 	| -2.210672218866866
235 	| [105] 	| -2.980465169310194 	| -2.2214918969650634 	| -2.1370811991139904
236 	| [116] 	| 0.4780479354268605 	| -0.3637898122467691 	| -0.5652493205723925
237 	| [102] 	| -2.9711141920826765 	| -2.332562585476677 	| -2.3635619960808967
238 	| [104] 	| -1.8202757574609194 	| -1.994913180294273 	| -1.6432482697403996
239 	| [101] 	| -1.5629569381332864 	| -1.7448830694562611 	| -1.6126220030841505
240 	| [103] 	| -2.293474977726151 	| -1.6458022888491106 	| -1.9941249691435634
241 	| [105] 	| -1.0293577758404375 	| -1.268787336773599 	| -0.8272249109646721
242 	| [102] 	| -2.7447773340224657 	| -2.196986231650891 	| -2.448148110651784
243 	| [104] 	| -1.665826682958965 	| -1.606656652081238 	| -1.5379815559227419
244 	| [116] 	| -1.7591767399869591 	| -1.8522663247078546 	| -1.8240425284071615
